Time	Mis. Pos X	Mis. Pos Y	Mis. Pos Z	Mis. Vel X	Mis. Vel Y	Mis. Vel Z
0.0000	-0.2604	-0.0644	8781.0501	-260.3829	-64.3513	33.8106
0.0010	-0.5208	-0.1287	8781.0839	-260.3844	-64.3447	33.8008
0.0020	-0.7812	-0.1930	8781.1177	-260.3859	-64.3382	33.7910
0.0030	-1.0415	-0.2574	8781.1515	-260.3875	-64.3316	33.7812
0.0040	-1.3019	-0.3217	8781.1853	-260.3890	-64.3250	33.7715
0.0050	-1.5623	-0.3860	8781.2190	-260.3906	-64.3184	33.7617
0.0060	-1.8227	-0.4503	8781.2528	-260.3921	-64.3119	33.7519
0.0070	-2.0831	-0.5146	8781.2865	-260.3937	-64.3053	33.7421
0.0080	-2.3435	-0.5789	8781.3203	-260.3952	-64.2987	33.7323
0.0090	-2.6039	-0.6432	8781.3540	-260.3967	-64.2921	33.7225
0.0100	-2.8643	-0.7075	8781.3877	-260.3983	-64.2855	33.7127
0.0110	-3.1247	-0.7718	8781.4214	-260.3998	-64.2790	33.7030
0.0120	-3.3851	-0.8361	8781.4551	-260.4014	-64.2724	33.6932
0.0130	-3.6455	-0.9003	8781.4888	-260.4029	-64.2658	33.6834
0.0140	-3.9059	-0.9646	8781.5224	-260.4045	-64.2592	33.6736
0.0150	-4.1663	-1.0288	8781.5561	-260.4060	-64.2527	33.6638
0.0160	-4.4267	-1.0931	8781.5898	-260.4075	-64.2461	33.6540
0.0170	-4.6871	-1.1573	8781.6234	-260.4091	-64.2395	33.6443
0.0180	-4.9475	-1.2216	8781.6570	-260.4106	-64.2329	33.6345
0.0190	-5.2080	-1.2858	8781.6907	-260.4122	-64.2264	33.6247
0.0200	-5.4684	-1.3500	8781.7243	-260.4137	-64.2198	33.6149
0.0210	-5.7288	-1.4142	8781.7579	-260.4152	-64.2132	33.6051
0.0220	-5.9892	-1.4784	8781.7915	-260.4168	-64.2066	33.5953
0.0230	-6.2496	-1.5426	8781.8251	-260.4183	-64.2000	33.5855
0.0240	-6.5100	-1.6068	8781.8586	-260.4199	-64.1935	33.5758
0.0250	-6.7705	-1.6710	8781.8922	-260.4214	-64.1869	33.5660
0.0260	-7.0309	-1.7352	8781.9258	-260.4229	-64.1803	33.5562
0.0270	-7.2913	-1.7994	8781.9593	-260.4245	-64.1737	33.5464
0.0280	-7.5517	-1.8635	8781.9929	-260.4260	-64.1672	33.5366
0.0290	-7.8122	-1.9277	8782.0264	-260.4276	-64.1606	33.5268
0.0300	-8.0726	-1.9918	8782.0599	-260.4291	-64.1540	33.5170
0.0310	-8.3330	-2.0560	8782.0934	-260.4306	-64.1474	33.5073
0.0320	-8.5934	-2.1201	8782.1269	-260.4322	-64.1409	33.4975
0.0330	-8.8539	-2.1843	8782.1604	-260.4337	-64.1343	33.4877
0.0340	-9.1143	-2.2484	8782.1939	-260.4352	-64.1277	33.4779
0.0350	-9.3748	-2.3125	8782.2273	-260.4368	-64.1211	33.4681
0.0360	-9.6352	-2.3766	8782.2608	-260.4383	-64.1146	33.4583
0.0370	-9.8956	-2.4407	8782.2942	-260.4399	-64.1080	33.4485
0.0380	-10.1561	-2.5048	8782.3277	-260.4414	-64.1014	33.4388
0.0390	-10.4165	-2.5689	8782.3611	-260.4429	-64.0948	33.4290
0.0400	-10.6770	-2.6330	8782.3945	-260.4445	-64.0883	33.4192
0.0410	-10.9374	-2.6971	8782.4279	-260.4460	-64.0817	33.4094
0.0420	-11.1979	-2.7612	8782.4613	-260.4475	-64.0751	33.3996
0.0430	-11.4583	-2.8252	8782.4947	-260.4491	-64.0685	33.3898
0.0440	-11.7188	-2.8893	8782.5281	-260.4506	-64.0620	33.3801
0.0450	-11.9792	-2.9534	8782.5615	-260.4521	-64.0554	33.3703
0.0460	-12.2397	-3.0174	8782.5948	-260.4537	-64.0488	33.3605
0.0470	-12.5001	-3.0814	8782.6282	-260.4552	-64.0422	33.3507
0.0480	-12.7606	-3.1455	8782.6615	-260.4567	-64.0357	33.3409
0.0490	-13.0210	-3.2095	8782.6949	-260.4583	-64.0291	33.3311
0.0500	-13.2815	-3.2735	8782.7282	-260.4598	-64.0225	33.3213
0.0510	-13.5420	-3.3375	8782.7615	-260.4613	-64.0159	33.3116
0.0520	-13.8024	-3.4016	8782.7948	-260.4629	-64.0094	33.3018
0.0530	-14.0629	-3.4656	8782.8281	-260.4644	-64.0028	33.2920
0.0540	-14.3233	-3.5296	8782.8614	-260.4660	-63.9962	33.2822
0.0550	-14.5838	-3.5935	8782.8946	-260.4675	-63.9896	33.2724
0.0560	-14.8443	-3.6575	8782.9279	-260.4690	-63.9831	33.2626
0.0570	-15.1048	-3.7215	8782.9612	-260.4705	-63.9765	33.2528
0.0580	-15.3652	-3.7855	8782.9944	-260.4721	-63.9699	33.2431
0.0590	-15.6257	-3.8494	8783.0276	-260.4736	-63.9633	33.2333
0.0600	-15.8862	-3.9134	8783.0609	-260.4751	-63.9568	33.2235
0.0610	-16.1466	-3.9773	8783.0941	-260.4767	-63.9502	33.2137
0.0620	-16.4071	-4.0413	8783.1273	-260.4782	-63.9436	33.2039
0.0630	-16.6676	-4.1052	8783.1605	-260.4797	-63.9371	33.1941
0.0640	-16.9281	-4.1692	8783.1937	-260.4813	-63.9305	33.1844
0.0650	-17.1886	-4.2331	8783.2268	-260.4828	-63.9239	33.1746
0.0660	-17.4491	-4.2970	8783.2600	-260.4843	-63.9173	33.1648
0.0670	-17.7095	-4.3609	8783.2931	-260.4859	-63.9108	33.1550
0.0680	-17.9700	-4.4248	8783.3263	-260.4874	-63.9042	33.1452
0.0690	-18.2305	-4.4887	8783.3594	-260.4889	-63.8976	33.1354
0.0700	-18.4910	-4.5526	8783.3926	-260.4905	-63.8910	33.1256
0.0710	-18.7515	-4.6165	8783.4257	-260.4920	-63.8845	33.1159
